index,sub_index,item_type,brand,product,film_format,film_speed_iso,process,expiry_date,date_added,md5,uuid,filename,author,notes,item_subtype,quantity
0,0,film_box_outside,Ilford,HP5 Plus,120,400,BW,202609,1736009233,11798276f80340be9e48e26e7e5b48df,36151f6b7cc045c2b43d7f5cbee41a5d,00000_000.jpg,dekuNukem,,Single Pack,N/A
0,1,film_box_inside,Ilford,HP5 Plus,120,400,BW,202609,1736009786,6845d3cf182b8bc58c6c7eb052d4407f,3d64b751d4dd412889855a65731d5f25,00000_001.jpg,dekuNukem,,Single Pack,N/A
1,0,film_box_outside,Alien Film,5207/250D,120,250,ECN-2,202606,1736009864,09a33a28cd3b4a4488b95c04617bd91e,aedc4b00bd174e0baf7c744ed21d8820,00001_000.jpg,dekuNukem,,Single Pack,N/A
2,0,film_box_outside,Efiniti,UXi Super 200,35mm,200,C-41,201310,1736009974,55e65d12354326e0bd08fcd215bae746,cde1122dafbc47088a11d9ee12b6471a,00002_000.jpg,dekuNukem,,Single Pack,36exp
4,0,film_box_outside,Harman,Phoenix,120,200,C-41,202608,1736010099,fbd497c31ef59703886e34b982385cf4,0b11ba38c9a34f58a2f13d696b05637f,00004_000.jpg,dekuNukem,,Single Pack,N/A
4,1,film_box_inside,Harman,Phoenix,120,200,C-41,202608,1750810157,22d8c43a5a50b3477cb53bb8a5cb568a,c5a0132ac51a488ba35ebd6cc48911e7,00004_001.jpg,yc128,,Single Pack,N/A
5,0,film_box_outside,Rollei,Retro 80S,120,80,BW,202602,1736010137,7fed7bd2ae90888b89b8ae5ece08b03a,fb2ccfebcf2f4a17afe00acaaea5e6c0,00005_000.jpg,dekuNukem,,Single Pack,N/A
5,1,film_box_inside,Rollei,Retro 80S,120,80,BW,202602,1736010143,003c6478cac4383e08f58df68f9bdfb7,a57794309f6b44d784d9555b416a200c,00005_001.jpg,dekuNukem,,Single Pack,N/A
6,0,film_box_outside,CineStill,800T,120,800,C-41,201803,1736010215,a50389fa5e262f6757f2f10591f4e668,53253eca96d841f5b98bfb3590fec86a,00006_000.jpg,dekuNukem,,Single Pack,N/A
6,1,film_box_inside,CineStill,800T,120,800,C-41,201803,1736010221,98edba707265e5ad224d6046e905766e,6576b3b48e8244469a692f2e0edcd1a6,00006_001.jpg,dekuNukem,,Single Pack,N/A
7,0,film_box_outside,Fujifilm,Fujicolor Super HR,35mm,200,C-41,199002,1736010370,d871041f0f834f845777164a81431bc4,2d27c9a865aa4de19ad8dc0bcdc8aaa0,00007_000.jpg,dekuNukem,,Single Pack,36exp
7,1,film_box_leaflet,Fujifilm,Fujicolor Super HR,35mm,200,C-41,199002,1736010374,0062a3d245a2a11285a79a6b90906294,a179b7257aaf455fa69df546545457f6,00007_001.jpg,dekuNukem,,Single Pack,36exp
7,2,film_box_leaflet,Fujifilm,Fujicolor Super HR,35mm,200,C-41,199002,1736010379,413560c61189cb9045d0db2a9b3ac576,e5688fcb7e8943a987ca6b882275ca7b,00007_002.jpg,dekuNukem,,Single Pack,36exp
8,0,film_box_outside,Lomography,Lomochrome Turquoise,120,100-400,C-41,202507,1736011766,62412f1081768044940bc53458134fe3,99643a4fc27b4ff298e834fc72970d90,00008_000.jpg,dekuNukem,,Single Pack,N/A
8,1,film_box_inside,Lomography,Lomochrome Turquoise,120,100-400,C-41,202507,1736012171,660ff2d641a9a81abf74cf4c3675f182,adc4ed82e419439c8bec5348db4a1ca2,00008_001.jpg,dekuNukem,,Single Pack,N/A
9,0,film_box_outside,Ilford,SFX 200,120,200,BW,201309,1736012219,e47126404808616d50e2aeec24fb0541,7856b5442362453caa67628c93be6057,00009_000.jpg,dekuNukem,,Single Pack,N/A
9,1,film_box_inside,Ilford,SFX 200,120,200,BW,201309,1736012224,9581abfd6886e6fd752725b9d300c0ff,2579a55634474187bac08797a02f422d,00009_001.jpg,dekuNukem,,Single Pack,N/A
10,0,film_box_outside,Agfa,Agfacolor ULTRA 50,35mm,50,C-41,200110,1736012345,fbbd763f53c38d9bfb0a08ed99f593ae,d10e846ba5154f1d940ed7009a904faa,00010_000.jpg,dekuNukem,,Single Pack,36exp
10,1,film_box_inside,Agfa,Agfacolor ULTRA 50,35mm,50,C-41,200110,1736012356,32855ca230d76c2bd9188b4897413f8d,8594d11f816c45b6a18dd122f8e38fc0,00010_001.jpg,dekuNukem,,Single Pack,36exp
11,0,film_box_outside,Agfa,APX,120,100,BW,200807,1736012462,3f162e57b88ca347f352401bed13d033,a20bbca534454915a6970b6ede2212c7,00011_000.jpg,dekuNukem,,Single Pack,N/A
11,1,film_box_inside,Agfa,APX,120,100,BW,200807,1736012466,b4dd3637abaeeb348a784e97ecd5afb8,dd262792b6a446dcab73a07738f8a8dd,00011_001.jpg,dekuNukem,,Single Pack,N/A
12,0,film_box_outside,Fujifilm,Fujicolor Superia,120,400,C-41,200205,1736012528,0f8b58c33d22b7ac5f9356dea6728198,c3d9e51d22e241f69133be30d5a00683,00012_000.jpg,dekuNukem,,Single Pack,N/A
12,1,film_box_inside,Fujifilm,Fujicolor Superia,120,400,C-41,200205,1736012532,9aae5bf0d88a5b78cda7c807df639085,5cd39510c35f4b9cbae3089311db118f,00012_001.jpg,dekuNukem,,Single Pack,N/A
13,0,film_box_outside,Lloyds Pharmacy,Colour Film,35mm,200,C-41,200907,1736012624,9747dc1a3b3fa848e80457ee997d1ece,c58dda071d1741fda90e20b4252277d9,00013_000.jpg,dekuNukem,,Single Pack,36exp
14,0,film_box_outside,Agfa,Agfacolor Vista,35mm,200,C-41,200312,1736012648,c96b09a92fd98b0145c22bca6a89a097,f1e50745927f4b7cb16af36fd30dd3af,00014_000.jpg,dekuNukem,,Single Pack,24exp
14,1,film_box_inside,Agfa,Agfacolor Vista,35mm,200,C-41,200312,1736012650,d8055cdaf4e2318c7dc97fe46d1979eb,300a430fc19f4eeeb4892e58d3c3cd56,00014_001.jpg,dekuNukem,,Single Pack,24exp
15,0,film_box_outside,Kentmere,PAN 400,35mm,400,BW,202906,1736012686,a1250d86f6c403b94ccbefd4d824a430,d2cf9753f6fd49a78404c72d848a827e,00015_000.jpg,dekuNukem,,Single Pack,36exp
15,1,film_box_inside,Kentmere,PAN 400,35mm,400,BW,202906,1736012688,704eea294744e4de46c9cb70a6879887,3514628a650741c8abb104047d809f55,00015_001.jpg,dekuNukem,,Single Pack,36exp
16,0,film_box_outside,Ilford,HP5 Plus,120,400,BW,202511,1736012716,87bc1d4a816c98be17f295300f214993,ddf9b76e633f43718144af7dcb89efad,00016_000.jpg,dekuNukem,,Single Pack,N/A
16,1,film_box_inside,Ilford,HP5 Plus,120,400,BW,202511,1736012719,72114f54b27f19218eb3633195e26cb9,1d938d2d844d498caf9fe2bc83618dda,00016_001.jpg,dekuNukem,,Single Pack,N/A
17,0,film_box_outside,Kodak,High Speed Ektachrome,120,160,E-2,196301,1736012891,2290616ea75d47f89f83ffae0b7f3312,ec7cf78858fc48c59e5a0875ec74ce7f,00017_000.jpg,dekuNukem,,Single Pack,N/A
18,0,film_box_outside,Polaroid,665,Pack Film,80,Instant,199608,1736023755,1bcecb1b015e966a2c56b57937610221,311d896d68b74b1193afcfa129c5e054,00018_000.jpg,dekuNukem,,Single Pack,8exp
19,0,film_box_outside,Polaroid,PolaBlue 35mm,35mm,8,Instant,199208,1736023839,859db4fa936272430f29a27d3d3cb689,8236180d686f4e9ca4aa8e6fc397df66,00019_000.jpg,dekuNukem,,Single Pack,12exp
19,1,film_box_leaflet,Polaroid,PolaBlue 35mm,35mm,8,Instant,199208,1754271877,68885cc5c89b33c14b10aef5bdb1143d,6f0d7187f2aa4396ab9879964db7a22a,00019_001.jpg,dekuNukem,,Single Pack,12exp
19,2,film_box_leaflet,Polaroid,PolaBlue 35mm,35mm,8,Instant,199208,1754271880,dc0ea81b45be3eab4e7145c5464daf9e,69c6bc7256f542acadde9fa0441c8c8f,00019_002.jpg,dekuNukem,,Single Pack,12exp
19,3,film_box_leaflet,Polaroid,PolaBlue 35mm,35mm,8,Instant,199208,1754271886,ac6707774fd3f9b9efb7bc7859c70234,6a168a96e48f45c5b2e4e730e1644fb4,00019_003.jpg,dekuNukem,,Single Pack,12exp
19,4,film_box_leaflet,Polaroid,PolaBlue 35mm,35mm,8,Instant,199208,1754271887,93e65f5cd6b19124a608cf55528ccda5,21253e4311ae4a25b46ba931aa78f266,00019_004.jpg,dekuNukem,,Single Pack,12exp
19,5,film_box_leaflet,Polaroid,PolaBlue 35mm,35mm,8,Instant,199208,1754271889,d7a57dc00df9d0350cabb26309c04538,de72b5b522a749fbb6aa280253eea1bd,00019_005.jpg,dekuNukem,,Single Pack,12exp
19,6,film_box_leaflet,Polaroid,PolaBlue 35mm,35mm,8,Instant,199208,1754271891,b47f7ef97e14d914765547787ba526f0,e48473352ab04761b968bdcae19a1ab5,00019_006.jpg,dekuNukem,,Single Pack,12exp
20,0,film_box_outside,Polaroid,669,Pack Film,80,Instant,200603,1736023886,b0cd45b17c81925263d5d7993a2202a4,bb62de3a22c04f699c780aeae7c83566,00020_000.jpg,dekuNukem,,Single Pack,20exp
21,0,film_box_outside,Kodak,Gold 200,120,200,C-41,202611,1736023928,5f33dbc02c379946e4359cc9eb88a597,e8aefc10fa0d43cebbac73bdcf10933f,00021_000.jpg,dekuNukem,,Multi-Pack-5,N/A
22,0,film_box_outside,Fujifilm,Fujicolor Pro 400H,120,400,C-41,201809,1736023971,49a08247ec78404771de7e39ebb6c7a9,0d89ecf11f3c46deb52171aa909566e3,00022_000.jpg,dekuNukem,,Multi-Pack-5,N/A
23,0,film_box_outside,Fujifilm,Fujichrome Velvia 100F,120,100,E-6,200604,1736024062,8213c32039517c81dada2b71e2aa9700,0fef128c3b17437eb25d5c4f0520f7fb,00023_000.jpg,dekuNukem,,Multi-Pack-5,N/A
24,0,film_box_outside,Kodak,Kodacolor-X,126,80,C-22,197505,1736024127,1590b8adf1455a9ffebc900f7ac7d11a,5a3d2ba8ff7649c9b3450d7069445302,00024_000.jpg,dekuNukem,,Single Pack,20exp
25,0,film_box_outside,Kodak,Ektachrome 64,110,64,Unknown,197910,1736024383,1ae62f8e86e136b5c71afe68b8defa69,8131d8c6fbf14016be9c17a2586b07c0,00025_000.jpg,dekuNukem,,Single Pack,20exp
26,0,film_box_outside,Kodak,Kodachrome 64,110,64,K-14,197910,1736024463,0d0fd5d7580c1e347aaa9649dd41c3b4,68c945b76fc14ab699b944a3c7b93145,00026_000.jpg,dekuNukem,,Single Pack,20exp
26,1,film_box_processing_envelope,Kodak,Kodachrome 64,110,64,K-14,197910,1736024466,ba7da15cc1e73579c1cc489743d458dd,54ea8372830b463391dec9cc43789bdf,00026_001.jpg,dekuNukem,,Single Pack,20exp
26,2,film_box_processing_envelope,Kodak,Kodachrome 64,110,64,K-14,197910,1736024471,a364807333abda8ca31975605de722a0,045746d5a421440487c431bf74ad0091,00026_002.jpg,dekuNukem,,Single Pack,20exp
27,0,film_box_outside,Kodak,Ektacolor Pro Gold,220,160,C-41,200007,1736024519,fb2fd29fa9a4c0515aa5d2630213c8bc,7456456d09c844c8ab046abd9c17c3f8,00027_000.jpg,dekuNukem,,Multi-Pack-5,N/A
27,1,film_box_inside,Kodak,Ektacolor Pro Gold,220,160,C-41,200007,1736024573,01fe05b44c890447bd550e9755d38147,e9e4b4c649dc4b62aecc7bc004a1a6ff,00027_001.jpg,dekuNukem,,Multi-Pack-5,N/A
27,2,film_box_leaflet,Kodak,Ektacolor Pro Gold,220,160,C-41,200007,1736024586,15167b9ca91f10e70ea76d1dab7cf407,c13296cf46f04c1dba4ef93110f3ca71,00027_002.jpg,dekuNukem,,Multi-Pack-5,N/A
